"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.454045007E0,-2.379890382E-1,-4.925441742E-2,-1.412774809E-2
9.484037672E0,-2.606101036E-1,-4.102611542E-2,-7.335969247E-3
9.514030304E0,-2.039412856E-1,-9.147644043E-2,8.069704473E-2
9.544023002E0,-1.151798964E-1,-1.700496674E-1,2.199247628E-1
9.574015667E0,-4.992040992E-2,-1.793432236E-1,2.990189791E-1
9.604008332E0,-5.772650242E-2,-1.842441559E-1,2.854225636E-1
9.634001030E0,-1.345748454E-1,-1.271667480E-1,1.348627806E-1
9.663993695E0,-2.167849243E-1,-4.446601868E-2,5.493548512E-2
9.693986360E0,-3.264806271E-1,4.263687134E-2,-5.374189466E-2
9.723979058E0,-3.362464905E-1,6.875514984E-2,-2.460040897E-2
9.753971723E0,-2.890016437E-1,3.640747070E-2,5.031915009E-2
9.783964388E0,-1.699596047E-1,-3.360939026E-2,1.444121301E-1
9.813957086E0,-4.314363003E-2,-7.984542847E-2,1.994566917E-1
9.843949751E0,-1.221132278E-2,-1.003160477E-1,1.271696091E-1
9.873942416E0,-2.161714435E-2,-9.297466278E-2,3.286723047E-2
9.903935081E0,-1.328823715E-1,-1.688861847E-2,-9.672558308E-2
9.933927746E0,-1.882558018E-1,9.014129639E-3,-1.273412406E-1
9.963920444E0,-1.711711884E-1,4.685401917E-3,-7.007570565E-2
9.993913109E0,-8.552373946E-2,-5.861377716E-2,-1.317716762E-2
1.002390577E1,5.321948230E-2,-1.433458328E-1,3.997816145E-2
1.004393427E1,1.360873878E-1,-1.833658218E-1,3.001775593E-2
1.006399604E1,1.833842695E-1,-2.333030701E-1,-4.519816488E-3
1.008405780E1,1.955108047E-1,-2.332916260E-1,-9.233495593E-2
1.010411957E1,1.764399111E-1,-2.048435211E-1,-1.584138423E-1
1.012418134E1,1.361330450E-1,-1.598243713E-1,-2.348175049E-1
1.014424310E1,5.814984441E-2,-7.651901245E-2,-2.697313428E-1
1.016430490E1,5.722686648E-3,-5.045890808E-2,-2.543618083E-1
1.018436667E1,1.644078642E-2,-2.172088623E-2,-2.461210638E-1
1.020442844E1,1.018799841E-2,-4.295825958E-2,-2.146737874E-1
1.022449020E1,6.362820417E-2,-5.208110809E-2,-1.511756927E-1
1.024455193E1,1.355330199E-1,-9.239101410E-2,-1.049389988E-1
1.026461370E1,2.319927812E-1,-1.472253799E-1,-9.239143133E-2
1.028467547E1,2.767896056E-1,-1.759614944E-1,-9.432320297E-2
1.030473723E1,3.233020902E-1,-1.665868759E-1,-1.534489840E-1
1.032479900E1,3.045713305E-1,-1.692905426E-1,-2.188963592E-1
1.034482740E1,2.645430565E-1,-1.241168976E-1,-2.706913054E-1
1.037482006E1,1.559204161E-1,-4.304313660E-2,-3.126778007E-1
1.040481273E1,7.917137444E-2,7.231712341E-3,-2.787088156E-1
